"","X","RouteDataID","CountryNum","StateNum","Route","RPID","Year","AOU","Stop1","Stop2","Stop3","Stop4","Stop5","Stop6","Stop7","Stop8","Stop9","Stop10","Stop11","Stop12","Stop13","Stop14","Stop15","Stop16","Stop17","Stop18","Stop19","Stop20","Stop21","Stop22","Stop23","Stop24","Stop25","Stop26","Stop27","Stop28","Stop29","Stop30","Stop31","Stop32","Stop33","Stop34","Stop35","Stop36","Stop37","Stop38","Stop39","Stop40","Stop41","Stop42","Stop43","Stop44","Stop45","Stop46","Stop47","Stop48","Stop49","Stop50","route_totals"
"1779114",1779114,6372692,840,44,1,101,2019,5190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"1779115",1779115,6372692,840,44,1,101,2019,5290,0,0,0,0,0,4,2,0,1,0,1,0,0,0,0,0,0,4,4,2,0,0,2,0,0,2,0,0,0,1,2,0,0,0,2,1,0,0,1,0,0,2,0,3,0,0,0,0,2,0,36
"1779116",1779116,6372692,840,44,1,101,2019,5600,2,3,2,4,1,1,0,0,2,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,2,0,0,0,1,0,3,2,0,0,1,0,0,0,2,1,1,0,2,2,45
"1779117",1779117,6372692,840,44,1,101,2019,5810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,2,1,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15
"1779118",1779118,6372692,840,44,1,101,2019,5930,0,2,0,3,1,1,1,2,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,24
"1779119",1779119,6372692,840,44,1,101,2019,6130,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"1779120",1779120,6372692,840,44,1,101,2019,6140,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1779121",1779121,6372692,840,44,1,101,2019,6190,0,0,0,0,1,3,1,0,2,2,3,3,2,0,0,3,5,2,3,0,2,0,3,0,2,1,0,0,6,1,4,0,0,1,4,5,0,0,2,0,0,0,2,0,0,0,0,1,0,0,64
"1779122",1779122,6372692,840,44,1,101,2019,6240,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,8
"1779123",1779123,6372692,840,44,1,101,2019,6520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
"1779124",1779124,6372692,840,44,1,101,2019,6670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1779125",1779125,6372692,840,44,1,101,2019,6710,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1779126",1779126,6372692,840,44,1,101,2019,6740,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1779127",1779127,6372692,840,44,1,101,2019,6810,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
"1779128",1779128,6372692,840,44,1,101,2019,6870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
