"","label","species"
"1",1,1720
"2",2,1720
"3",3,1720
"4",4,1720
"5",5,1720
"6",6,1720
"7",7,1720
"8",8,1720
"9",9,1720
"10",10,1720
"11",11,1720
"12",12,2010
"13",13,3100
"14",14,3100
"15",15,3100
"16",16,3100
"17",17,3100
"18",18,3100
"19",19,3100
"20",20,3100
"21",21,3100
"22",22,3100
"23",23,3100
"24",24,3100
"25",25,3131
"26",26,3131
"27",27,3131
"28",28,3131
"29",29,3160
"30",30,3160
"31",31,3160
"32",32,3160
"33",33,3160
"34",34,3160
"35",35,3160
"36",36,3160
"37",37,3160
"38",38,3160
"39",39,3160
"40",40,3160
"41",41,3160
"42",42,3160
"43",43,3160
"44",44,3160
"45",45,3940
"46",46,3940
"47",47,4090
"48",48,4090
"49",49,4120
"50",50,4120
"51",51,4230
"52",52,4230
"53",53,4280
"54",54,4520
"55",55,4520
"56",56,4520
"57",57,4860
"58",58,4860
"59",59,4860
"60",60,4860
"61",61,4860
"62",62,4860
"63",63,4880
"64",64,4880
"65",65,4880
"66",66,4880
"67",67,4880
"68",68,4880
"69",69,4880
"70",70,4880
"71",71,4880
"72",72,4930
"73",73,4930
"74",74,4930
"75",75,4930
"76",76,4940
"77",77,4950
"78",78,4950
"79",79,4950
"80",80,4980
"81",81,4980
"82",82,4980
"83",83,4980
"84",84,4980
"85",85,4980
"86",86,4980
"87",87,4980
"88",88,4980
"89",89,4980
"90",90,4980
"91",91,4980
"92",92,4980
"93",93,4980
"94",94,4980
"95",95,4980
"96",96,4980
"97",97,4980
"98",98,4980
"99",99,4980
"100",100,4980
"101",101,5070
"102",102,5070
"103",103,5110
"104",104,5110
"105",105,5110
"106",106,5110
"107",107,5110
"108",108,5110
"109",109,5110
"110",110,5110
"111",111,5190
"112",112,5190
"113",113,5190
"114",114,5290
"115",115,5290
"116",116,5290
"117",117,5290
"118",118,5290
"119",119,5290
"120",120,5290
"121",121,5290
"122",122,5290
"123",123,5290
"124",124,5290
"125",125,5290
"126",126,5290
"127",127,5290
"128",128,5290
"129",129,5290
"130",130,5290
"131",131,5290
"132",132,5290
"133",133,5290
"134",134,5290
"135",135,5290
"136",136,5290
"137",137,5290
"138",138,5290
"139",139,5290
"140",140,5290
"141",141,5290
"142",142,5290
"143",143,5290
"144",144,5290
"145",145,5290
"146",146,5290
"147",147,5290
"148",148,5290
"149",149,5290
"150",150,5600
"151",151,5600
"152",152,5600
"153",153,5600
"154",154,5600
"155",155,5600
"156",156,5600
"157",157,5600
"158",158,5600
