X,RouteDataID,CountryNum,StateNum,Route,RPID,Year,AOU,Stop,Instances of AOU
1781782,6370961,840,44,4,101,2019,3160,Stop1,0
1781783,6370961,840,44,4,101,2019,3370,Stop1,0
1781784,6370961,840,44,4,101,2019,3520,Stop1,0
1781785,6370961,840,44,4,101,2019,3900,Stop1,0
1781786,6370961,840,44,4,101,2019,3940,Stop1,0
1781787,6370961,840,44,4,101,2019,4120,Stop1,0
1781788,6370961,840,44,4,101,2019,4230,Stop1,0
1781789,6370961,840,44,4,101,2019,4280,Stop1,0
1781790,6370961,840,44,4,101,2019,4440,Stop1,0
1781791,6370961,840,44,4,101,2019,4520,Stop1,0
1781792,6370961,840,44,4,101,2019,4560,Stop1,0
1781793,6370961,840,44,4,101,2019,4770,Stop1,0
1781794,6370961,840,44,4,101,2019,4860,Stop1,0
1781795,6370961,840,44,4,101,2019,4880,Stop1,0
1781796,6370961,840,44,4,101,2019,4930,Stop1,0
1781797,6370961,840,44,4,101,2019,4950,Stop1,0
1781798,6370961,840,44,4,101,2019,4980,Stop1,0
1781799,6370961,840,44,4,101,2019,5070,Stop1,0
1781800,6370961,840,44,4,101,2019,5110,Stop1,0
1781801,6370961,840,44,4,101,2019,5190,Stop1,0
1781802,6370961,840,44,4,101,2019,5290,Stop1,0
1781803,6370961,840,44,4,101,2019,5600,Stop1,1
1781804,6370961,840,44,4,101,2019,5810,Stop1,2
1781805,6370961,840,44,4,101,2019,5930,Stop1,1
1781806,6370961,840,44,4,101,2019,5950,Stop1,0
1781807,6370961,840,44,4,101,2019,6080,Stop1,0
1781808,6370961,840,44,4,101,2019,6130,Stop1,0
1781809,6370961,840,44,4,101,2019,6140,Stop1,0
1781810,6370961,840,44,4,101,2019,6190,Stop1,0
1781811,6370961,840,44,4,101,2019,6240,Stop1,0
1781812,6370961,840,44,4,101,2019,6270,Stop1,0
1781813,6370961,840,44,4,101,2019,6290,Stop1,0
1781814,6370961,840,44,4,101,2019,6360,Stop1,0
1781815,6370961,840,44,4,101,2019,6480,Stop1,0
1781816,6370961,840,44,4,101,2019,6520,Stop1,0
1781817,6370961,840,44,4,101,2019,6710,Stop1,0
1781818,6370961,840,44,4,101,2019,6740,Stop1,0
1781819,6370961,840,44,4,101,2019,6810,Stop1,0
1781820,6370961,840,44,4,101,2019,6860,Stop1,0
1781821,6370961,840,44,4,101,2019,6870,Stop1,0
1781822,6370961,840,44,4,101,2019,6882,Stop1,0
1781823,6370961,840,44,4,101,2019,7040,Stop1,2
1781824,6370961,840,44,4,101,2019,7180,Stop1,0
1781825,6370961,840,44,4,101,2019,7210,Stop1,1
1781826,6370961,840,44,4,101,2019,7270,Stop1,0
1781827,6370961,840,44,4,101,2019,7280,Stop1,0
1781828,6370961,840,44,4,101,2019,7310,Stop1,1
1781829,6370961,840,44,4,101,2019,7350,Stop1,1
1781830,6370961,840,44,4,101,2019,7560,Stop1,0
1781831,6370961,840,44,4,101,2019,7590,Stop1,0
1781832,6370961,840,44,4,101,2019,7610,Stop1,6
1781833,6370961,840,44,4,101,2019,7660,Stop1,0
1783831,6371890,840,44,6,101,2019,70,Stop1,0
1783832,6371890,840,44,6,101,2019,510,Stop1,0
1783833,6371890,840,44,6,101,2019,540,Stop1,0
1783834,6371890,840,44,6,101,2019,1290,Stop1,0
1783835,6371890,840,44,6,101,2019,1310,Stop1,0
1783836,6371890,840,44,6,101,2019,3000,Stop1,0
1783837,6371890,840,44,6,101,2019,3900,Stop1,0
1783838,6371890,840,44,6,101,2019,3930,Stop1,0
1783839,6371890,840,44,6,101,2019,4020,Stop1,0
1783840,6371890,840,44,6,101,2019,4050,Stop1,0
1783841,6371890,840,44,6,101,2019,4120,Stop1,0
1783842,6371890,840,44,6,101,2019,4630,Stop1,0
1783843,6371890,840,44,6,101,2019,4661,Stop1,0
1783844,6371890,840,44,6,101,2019,4670,Stop1,0
1783845,6371890,840,44,6,101,2019,4770,Stop1,0
1783846,6371890,840,44,6,101,2019,4840,Stop1,0
1783847,6371890,840,44,6,101,2019,4860,Stop1,0
1783848,6371890,840,44,6,101,2019,4880,Stop1,0
1783849,6371890,840,44,6,101,2019,5110,Stop1,0
1783850,6371890,840,44,6,101,2019,5170,Stop1,1
1783851,6371890,840,44,6,101,2019,5290,Stop1,0
1783852,6371890,840,44,6,101,2019,5580,Stop1,5
1783853,6371890,840,44,6,101,2019,5600,Stop1,0
1783854,6371890,840,44,6,101,2019,5670,Stop1,1
1783855,6371890,840,44,6,101,2019,5810,Stop1,0
1783856,6371890,840,44,6,101,2019,6140,Stop1,0
1783857,6371890,840,44,6,101,2019,6240,Stop1,1
1783858,6371890,840,44,6,101,2019,6290,Stop1,0
1783859,6371890,840,44,6,101,2019,6360,Stop1,0
1783860,6371890,840,44,6,101,2019,6450,Stop1,0
1783861,6371890,840,44,6,101,2019,6480,Stop1,0
1783862,6371890,840,44,6,101,2019,6540,Stop1,0
1783863,6371890,840,44,6,101,2019,6550,Stop1,0
1783864,6371890,840,44,6,101,2019,6570,Stop1,0
1783865,6371890,840,44,6,101,2019,6590,Stop1,0
1783866,6371890,840,44,6,101,2019,6620,Stop1,0
1783867,6371890,840,44,6,101,2019,6670,Stop1,0
1783868,6371890,840,44,6,101,2019,6710,Stop1,0
1783869,6371890,840,44,6,101,2019,6740,Stop1,0
1783870,6371890,840,44,6,101,2019,6750,Stop1,1
1783871,6371890,840,44,6,101,2019,6790,Stop1,0
1783872,6371890,840,44,6,101,2019,6810,Stop1,0
1783873,6371890,840,44,6,101,2019,6860,Stop1,0
1783874,6371890,840,44,6,101,2019,6870,Stop1,0
1783875,6371890,840,44,6,101,2019,7222,Stop1,0
1783876,6371890,840,44,6,101,2019,7280,Stop1,0
1783877,6371890,840,44,6,101,2019,7350,Stop1,0
1783878,6371890,840,44,6,101,2019,7400,Stop1,0
1783879,6371890,840,44,6,101,2019,7480,Stop1,0
1783880,6371890,840,44,6,101,2019,7490,Stop1,0
1783881,6371890,840,44,6,101,2019,7580,Stop1,2
1783882,6371890,840,44,6,101,2019,7590,Stop1,0
1783883,6371890,840,44,6,101,2019,7610,Stop1,2
1785259,6373261,840,44,7,101,2019,3160,Stop1,0
1785260,6373261,840,44,7,101,2019,3570,Stop1,0
1785261,6373261,840,44,7,101,2019,3930,Stop1,0
1785262,6373261,840,44,7,101,2019,3940,Stop1,0
1785263,6373261,840,44,7,101,2019,4020,Stop1,0
1785264,6373261,840,44,7,101,2019,4050,Stop1,0
1785265,6373261,840,44,7,101,2019,4090,Stop1,0
1785266,6373261,840,44,7,101,2019,4120,Stop1,0
1785267,6373261,840,44,7,101,2019,4280,Stop1,0
1785268,6373261,840,44,7,101,2019,4560,Stop1,0
1785269,6373261,840,44,7,101,2019,4590,Stop1,0
1785270,6373261,840,44,7,101,2019,4630,Stop1,0
1785271,6373261,840,44,7,101,2019,4661,Stop1,0
1785272,6373261,840,44,7,101,2019,4670,Stop1,0
1785273,6373261,840,44,7,101,2019,4770,Stop1,0
1785274,6373261,840,44,7,101,2019,4860,Stop1,0
1785275,6373261,840,44,7,101,2019,4880,Stop1,0
1785276,6373261,840,44,7,101,2019,4980,Stop1,0
1785277,6373261,840,44,7,101,2019,5090,Stop1,0
1785278,6373261,840,44,7,101,2019,5170,Stop1,0
1785279,6373261,840,44,7,101,2019,5290,Stop1,0
1785280,6373261,840,44,7,101,2019,5420,Stop1,0
1785281,6373261,840,44,7,101,2019,5580,Stop1,5
1785282,6373261,840,44,7,101,2019,5600,Stop1,0
1785283,6373261,840,44,7,101,2019,5670,Stop1,0
1785284,6373261,840,44,7,101,2019,5810,Stop1,0
1785285,6373261,840,44,7,101,2019,5840,Stop1,1
1785286,6373261,840,44,7,101,2019,5870,Stop1,0
1785287,6373261,840,44,7,101,2019,5980,Stop1,0
1785288,6373261,840,44,7,101,2019,6130,Stop1,0
1785289,6373261,840,44,7,101,2019,6140,Stop1,0
1785290,6373261,840,44,7,101,2019,6160,Stop1,0
